[2018-02-27 14:06:03.166][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:03.673][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:04.177][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:04.678][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:05.180][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:05.681][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:06.182][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:06.684][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:07.185][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:07.686][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:08.188][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:08.690][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:09.190][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:09.691][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:10.192][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:10.695][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:11.198][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:11.699][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:12.202][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:12.705][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:13.208][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:13.710][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:14.213][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:14.715][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:15.217][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:15.719][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:16.221][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:16.723][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:17.224][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:17.726][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:18.227][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:18.729][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
[2018-02-27 14:06:19.231][DEBUG][main][][c.p.i.a.Main] - Siema arg1, arg2
